"id","model_id","size","manual_price","pneumatic_price","electric_price","gear_price","gate_304_diff","gate_316_diff","rod_304_diff","rod_316_diff","branding_fee","min_order_qty","status","remark","created_at","_openid"
"1540","169","200","0.00","0.00","0.00","1980.00","0.00","0.00","0.00","0.00","30.00","50","enabled","","2026-06-09 22:56:58","import"
"1541","170","65","0.00","380.00","0.00","0.00","0.00","0.00","0.00","0.00","25.00","50","enabled","","2026-06-09 22:56:58","import"
"1542","170","80","0.00","410.00","0.00","0.00","0.00","0.00","0.00","0.00","25.00","50","enabled","","2026-06-09 22:56:58","import"
"1543","170","100","0.00","460.00","0.00","0.00","0.00","0.00","0.00","0.00","25.00","50","enabled","","2026-06-09 22:56:59","import"
"1544","170","125","0.00","520.00","0.00","0.00","0.00","0.00","0.00","0.00","25.00","50","enabled","","2026-06-09 22:56:59","import"
"1545","170","150","0.00","730.00","0.00","0.00","0.00","0.00","0.00","0.00","25.00","50","enabled","","2026-06-09 22:57:00","import"
"1546","170","200","0.00","930.00","0.00","0.00","0.00","0.00","0.00","0.00","30.00","50","enabled","","2026-06-09 22:57:00","import"
"1547","171","65","0.00","350.00","0.00","0.00","0.00","0.00","0.00","0.00","25.00","50","enabled","","2026-06-09 22:57:01","import"
"1548","171","80","0.00","370.00","0.00","0.00","0.00","0.00","0.00","0.00","25.00","50","enabled","","2026-06-09 22:57:01","import"
"1549","171","100","0.00","410.00","0.00","0.00","0.00","0.00","0.00","0.00","25.00","50","enabled","","2026-06-09 22:57:01","import"
"1550","171","125","0.00","470.00","0.00","0.00","0.00","0.00","0.00","0.00","25.00","50","enabled","","2026-06-09 22:57:02","import"
"1551","171","150","0.00","680.00","0.00","0.00","0.00","0.00","0.00","0.00","25.00","50","enabled","","2026-06-09 22:57:02","import"
"1552","171","200","0.00","850.00","0.00","0.00","0.00","0.00","0.00","0.00","30.00","50","enabled","","2026-06-09 22:57:02","import"
"1553","167","50","0.00","0.00","0.00","700.00","0.00","0.00","0.00","0.00","25.00","50","enabled","","2026-06-09 22:59:08","import"
"1554","168","50","0.00","0.00","0.00","830.00","0.00","0.00","0.00","0.00","25.00","50","enabled","","2026-06-09 22:59:11","import"
"1555","169","50","0.00","0.00","0.00","900.00","0.00","0.00","0.00","0.00","25.00","50","enabled","","2026-06-09 22:59:13","import"
"1556","170","50","0.00","360.00","0.00","0.00","0.00","0.00","0.00","0.00","25.00","50","enabled","","2026-06-09 22:59:16","import"
"1557","171","50","0.00","320.00","0.00","0.00","0.00","0.00","0.00","0.00","25.00","50","enabled","","2026-06-09 22:59:18","import"
"1558","172","50","0.00","440.00","0.00","0.00","0.00","0.00","0.00","0.00","25.00","50","enabled","","2026-06-09 22:59:20","import"
"1559","172","65","0.00","480.00","0.00","0.00","0.00","0.00","0.00","0.00","25.00","50","enabled","","2026-06-09 22:59:21","import"
"1560","172","80","0.00","530.00","0.00","0.00","0.00","0.00","0.00","0.00","25.00","50","enabled","","2026-06-09 22:59:21","import"
"1561","172","100","0.00","610.00","0.00","0.00","0.00","0.00","0.00","0.00","25.00","50","enabled","","2026-06-09 22:59:21","import"
"1562","172","125","0.00","710.00","0.00","0.00","0.00","0.00","0.00","0.00","25.00","50","enabled","","2026-06-09 22:59:22","import"
"1563","172","150","0.00","970.00","0.00","0.00","0.00","0.00","0.00","0.00","25.00","50","enabled","","2026-06-09 22:59:22","import"
"1564","172","200","0.00","1300.00","0.00","0.00","0.00","0.00","0.00","0.00","30.00","50","enabled","","2026-06-09 22:59:22","import"
"1565","1","50","220.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","25.00","50","enabled","","2026-06-09 22:59:23","import"
"1566","1","65","240.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","25.00","50","enabled","","2026-06-09 22:59:23","import"
"1567","1","80","280.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","25.00","50","enabled","","2026-06-09 22:59:23","import"
"1568","1","100","320.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","25.00","50","enabled","","2026-06-09 22:59:24","import"
"1569","1","125","380.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","25.00","50","enabled","","2026-06-09 22:59:24","import"
"1570","1","150","500.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","25.00","50","enabled","","2026-06-09 22:59:24","import"
"1571","1","200","690.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","30.00","50","enabled","","2026-06-09 22:59:25","import"
"1572","173","65","210.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","25.00","50","enabled","","2026-06-09 22:59:25","import"
"1573","173","80","240.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","25.00","50","enabled","","2026-06-09 22:59:25","import"
"1574","173","100","280.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","25.00","50","enabled","","2026-06-09 22:59:26","import"
"1575","173","125","330.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","25.00","50","enabled","","2026-06-09 22:59:26","import"
"1576","173","150","460.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","25.00","50","enabled","","2026-06-09 22:59:26","import"
"1577","173","200","690.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","30.00","50","enabled","","2026-06-09 22:59:27","import"
"1578","174","65","360.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","25.00","50","enabled","","2026-06-09 22:59:27","import"
"1579","174","80","430.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","25.00","50","enabled","","2026-06-09 22:59:28","import"
"1580","174","100","510.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","25.00","50","enabled","","2026-06-09 22:59:28","import"
"1581","174","125","620.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","25.00","50","enabled","","2026-06-09 22:59:28","import"
"1582","174","150","800.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","25.00","50","enabled","","2026-06-09 22:59:29","import"
"1583","174","200","1140.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","30.00","50","enabled","","2026-06-09 22:59:29","import"
"1584","175","65","460.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","25.00","50","enabled","","2026-06-09 22:59:30","import"
"1585","175","80","540.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","25.00","50","enabled","","2026-06-09 22:59:30","import"
"1586","175","100","640.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","25.00","50","enabled","","2026-06-09 22:59:30","import"
"1587","175","125","770.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","25.00","50","enabled","","2026-06-09 22:59:30","import"
"1588","175","150","940.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","25.00","50","enabled","","2026-06-09 22:59:31","import"
"1589","175","200","1480.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","30.00","50","enabled","","2026-06-09 22:59:31","import"
"1590","176","65","0.00","0.00","0.00","910.00","0.00","0.00","0.00","0.00","25.00","50","enabled","","2026-06-09 22:59:32","import"
"1591","176","80","0.00","0.00","0.00","910.00","0.00","0.00","0.00","0.00","25.00","50","enabled","","2026-06-09 22:59:32","import"
